type,designator,name,lower,upper,timesheet,activity_note,restriction,hazard,remarks
D,VTD3B,"KABIN BURI/WATTANA NAKHON, PRACHIN BURI",GND SFC,140 STD,MON-FRI 00:00-10:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
MHz
Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext. 42908, 42909"
D,VTD5A,"PRACHUAP, KHIRI KHAN",GND SFC,6500 MSL,MON-FRI 00:00-10:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext. 40555, 40556"
D,VTD5B,"PRACHUAP, KHIRI KHAN",GND SFC,6500 MSL,MON-FRI 00:00-10:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext. 40555, 40556
3"
D,VTD6A,"BANGKOK, NONTHABURI, NAKHON PATHOM, SUPHANBURI",GND SFC,5000 MSL,ANY 23:00-10:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
or 262.5 MHz
Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext. 22553"
D,VTD6B,"BANGKOK, NONTHABURI, NAKHON PATHOM, SUPHANBURI",GND SFC,5000 MSL,ANY 23:00-10:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
or 262.5 MHz
Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext. 22553"
D,VTD8A,RATCHABURI,GND SFC,460 STD,MON-FRI 00:00-11:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
127.7 MHz or 237.0 MHz
Pilots are advised to contact prior to entering.
Air Traffic Control branch,
Tel. +662 534 6000 ext. 37517, 37522"
D,VTD8B,RATCHABURI,GND SFC,120 STD,MON-FRI 23:00-13:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD8C,KANCHANABURI,GND SFC,9000 MSL,MON-FRI 00:00-11:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
127.7 MHz or 237.0 MHz
Pilots are advised to contact prior to entering.
Air Traffic Control branch,
Tel. +662 534 6000 ext. 37517, 37522
Lower limit
of interception)
4"
D,VTD8D,KANCHANABURI,GND SFC,6000 MSL,MON-FRI 00:00-11:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
127.7 MHz or 237.0 MHz
Pilots are advised to contact prior to entering.
Air Traffic Control branch,
Tel. +662 534 6000 ext. 37517, 37522"
D,VTD8E,SUPHAN BURI,GND SFC,8000 MSL,MON-FRI 00:00-11:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
127.7 MHz or 237.0 MHz
Pilots are advised to contact prior to entering.
Air Traffic Control branch,
Tel. +662 534 6000 ext. 37517, 37522
Note: Training aircraft at FL200 and above will be authorized
by Bangkok ACC."
D,VTD8F,SUPHAN BURI,GND SFC,6000 MSL,MON-FRI 00:00-11:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
127.7 MHz or 237.0 MHz
Pilots are advised to contact prior to entering.
Air Traffic Control branch,
Tel. +662 534 6000 ext. 37517, 37522
Note: Training aircraft at FL200 and above will be authorized
by Bangkok ACC."
D,VTD8G,SUPHAN BURI,GND SFC,8000 MSL,MON-FRI 00:00-11:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
127.7 MHz or 237.0 MHz
Pilots are advised to contact prior to entering.
Air Traffic Control branch,
Tel. +662 534 6000 ext. 37517, 37522
Lower limit
of interception)
5"
D,VTD20,HUA HIN,GND SFC,11000 MSL,ANY sunrise-sunset UTC,,Civil Flight Training Area,Flight school training,
D,VTD21A1,SATTAHIP BAY,GND SFC,6000 MSL,,Notified by NOTAM,RTN Gun Training Range for surface ships,Military operations,Pilots are advised to contact prior to entering.
D,VTD21A2,SATTAHIP BAY,GND SFC,150 STD,,Notified by NOTAM,RTN Gun Training Range for surface ships,Military operations,Pilots are advised to contact prior to entering.
D,VTD21A3,SATTAHIP BAY,GND SFC,150 STD,,Notified by NOTAM,RTN Gun Training Range for surface ships,Military operations,Pilots are advised to contact prior to entering.
D,VTD22,"KO KHRAM, SATTAHIP",GND SFC,150 STD,,Notified by NOTAM,RTN Gun Training Range for surface ships and aircr...,Military operations,Pilots are advised to contact prior to entering.
D,VTD23,KO PHAI,GND SFC,6000 MSL,,Notified by NOTAM,RTN Gun Training Range for surface ships and aircr...,Military operations,Pilots are advised to contact prior to entering.
D,VTD24,"KO CHANG, TRAT",GND SFC,150 STD,,Notified by NOTAM,RTN Gun Training Range for surface ships and aircr...,Military operations,Pilots are advised to contact prior to entering.
D,VTD25,"KO TAO, CHUMPHON",GND SFC,150 STD,,Notified by NOTAM,RTN Weapon Training Range for surface ships and ai...,Military operations,Pilots are advised to contact prior to entering.
D,VTD26,"CHONG SAMAE SAN, SATTAHIP",GND SFC,150 STD,,Notified by NOTAM,RTN Gun Training Range,Military operations,Pilots are advised to contact prior to entering.
D,VTD27,"PONG NAM RON, CHANTHABURI",GND SFC,8000 MSL,,Notified by NOTAM,RTN Gun Training Range,Military operations,Pilots are advised to contact prior to entering.
D,VTD28,SATTAHIP,GND SFC,150 STD,,Notified by NOTAM,RTN Gun Training Range,Military operations,Pilots are advised to contact prior to entering.
D,VTD29,"HIN RAKIT, PATTANI",GND SFC,150 STD,,Notified by NOTAM,RTN Weapon Training Range for surface ships and ai...,Military operations,Pilots are advised to contact prior to entering.
D,VTD30A1,WEST NAKHON RATCHASIMA (AREA 1),GND SFC,UNL STD,MON-FRI 23:00-10:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD30A2,EAST NAKHON RATCHASIMA (AREA 2),GND SFC,UNL STD,MON-FRI 23:00-10:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD32,NAKHON RATCHASIMA,GND SFC,5500 MSL,MON-FRI 23:00-14:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD33A1,"NAKHON SAWAN, CHAI NAT",GND SFC,240 STD,MON-FRI 22:00-17:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD33A2,"NAKHON SAWAN, CHAI NAT",GND SFC,UNL STD,MON-FRI 22:00-17:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD34A1,"PHETCHABUN, PHICHIT",GND SFC,280 STD,MON-FRI 22:00-17:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD34A2,"PHETCHABUN, PHICHIT",GND SFC,UNL STD,MON-FRI 22:00-17:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD41A,"MAE RIM, CHIANG MAI",GND SFC,460 STD,MON-FRI 00:00-11:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
MHz, if unable contact Chiang Mai Approach freq. 129.6 MHz
or 305.4 MHz
Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext 57504, 57503"
D,VTD41B,"MAE RIM, CHIANG MAI",GND SFC,460 STD,MON-FRI 00:00-11:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
MHz, if unable contact Chiang Mai Approach freq. 129.6 MHz
or 305.4 MHz
Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext 57504, 57503"
D,VTD43,LOP BURI,GND SFC,350 STD,MON-FRI 01:00-09:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD44,"UBON , YASOTHON",GND SFC,200 STD,MON-FRI 23:00-10:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD45,"UBON , SI SA KET",3000 MSL,UNL STD,MON-FRI 22:00-13:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD46,NAKHON RATCHASIMA,GND SFC,200 STD,MON-FRI 23:00-10:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD47,SAMUT SAKHON,120 STD,UNL STD,MON-FRI 01:30-09:30 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD54,UBON,GND SFC,UNL STD,MON-FRI 22:00-17:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD55,UBON,GND SFC,UNL STD,MON-FRI 22:00-17:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD56,SONGKHLA,GND SFC,460 STD,MON-FRI 00:00-10:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
, if unable contact Hat Yai Approach freq. 126.7 or 301.5 Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext. 63555, 63520"
D,VTD58,SURAT THANI,GND SFC,390 STD,,Notified by NOTAM,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD59A1,SURAT THANI,GND SFC,UNL STD,MON-FRI 23:00-17:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD59A2,"SURAT THANI, PHUKET ( AREA 2 )",GND SFC,12000 MSL,MON-FRI 23:00-17:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD60A1,SURAT THANI,GND SFC,UNL STD,MON-FRI 23:00-17:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD60A2,SURAT  THANI,GND SFC,UNL STD,MON-FRI 23:00-17:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD61,SURAT THANI,GND SFC,7000 MSL,MON-FRI 23:00-17:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD63,"UDON, LOEI, KHON KAEN ( AREA 2 )",GND SFC,10000 MSL,MON-FRI 22:00-17:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Pilots are advised to contact prior to entering.
D,VTD64,"UDON, NONG KHAI",GND SFC,UNL STD,ANY 23:00-11:00 UTC,,Civil Flight Training Area,Flight school training,Pilots are advised to contact prior to entering.
D,VTD64A1,NAKHON PHANOM FLYING TRAINING AREA (AREA 1),GND SFC,6000 MSL,ANY 23:00-11:00 UTC,,Civil Flight Training Area,Flight school training,Pilots are advised to contact prior to entering.
D,VTD64A2,NAKHON PHANOM FLYING TRAINING AREA (AREA 2),GND SFC,6000 MSL,ANY 23:00-11:00 UTC,,Civil Flight Training Area,Flight school training,Pilots are advised to contact prior to entering.
D,VTD65,NORTHEASTERN AREA,GND SFC,150 STD,MON-FRI 00:00-10:00 UTC,,RTAF Flying Training,High speed combat manoeuvring Bombing / Air Firing Area,Pilots are advised to contact prior to entering.
D,VTD67,KANCHANABURI,GND SFC,6000 MSL,,Notified by NOTAM,RTA Flying Training,Military operations,Pilots are advised to contact prior to entering.
D,VTD70,CHANTHABURI,GND SFC,150 STD,MON-FRI 01:30-09:30 UTC; HOL 00:00-24:00 UTC (excluded),,RTN Flight Training Area,Millitary flight training area,Pilots are advised to contact prior to entering.
D,VTD71,GULF OF THAILAND,GND SFC,300 STD,,Notified by NOTAM,RTN Flight Training Area,Military operations,Pilots are advised to contact prior to entering.
D,VTD74,PHANGNGA,GND SFC,9000 MSL,,Notified by NOTAM,RTN Weapon Training Range for surface ships,Military operations,Pilots are advised to contact prior to entering.
D,VTD75,KHON KAEN,GND SFC,6000 MSL,SAT-SUN 23:00-14:00 UTC,"SAT and SUN, 2300 - 1400 after this period will be notified by NOTAM",Civil Flight Training Area,Flight school training,Pilots are advised to contact prior to entering.
D,VTD76,KHON KAEN,GND SFC,6000 MSL,SAT-SUN 23:00-14:00 UTC,"SAT and SUN, 2300 - 1400 after this period will be notified by NOTAM",Civil Flight Training Area,Flight school training,Pilots are advised to contact prior to entering.
D,VTD77,KHON KAEN/ROIET,GND SFC,6000 MSL,SAT-SUN 23:00-14:00 UTC,"SAT and SUN, 2300 - 1400 after this period will be notified by NOTAM",Civil Flight Training Area,Flight school training,Pilots are advised to contact prior to entering.
D,VTD461,PHITSANULOK,GND SFC,6500 MSL,MON-FRI 00:00-10:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
if unable contact Phitsanulok Approach freq. 120.7 MHz or
284.0 MHz
Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext. 55164, 55157
Lower limit
of interception)
6
5.2 Establishment of temporary reserved area (VT TR A)
The Temporary Reserved Area (TRA) is an airspace of defined dimensions, temporarily reserved and allocated for the specific use of a particular
user during a defined period, as specified in AUP/U UP or NOTAM issued by the Airspace Management Cell (AMC), and through which other
traffic may or may not be allowed to transit under air traffic control clearance.
Details of the newly established temporary reserved area (VT TRA) as follow:
Lower limit
risk of interception)"
TRA,VTTRA2,MUAK LEK,GND SFC,5000 MSL,,MON - FRI,RTAF Flying Training,High speed combat manoeuvring,"Planned activation time and level to be specified in AUP/
UUP or NOTAM.
Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext. 50520"
TRA,VTTRA3A,"KABIN BURI/WATTANA NAKHON, PRACHIN BURI",GND SFC,10000 MSL,,MON - FRI,RTAF Flying Training,High speed combat manoeuvring,"Planned activation time and level to be specified in AUP/
UUP or NOTAM.
Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext. 42908, 42909"
TRA,VTTRA3B,"KABIN BURI/WATTANA NAKHON, PRACHIN BURI",GND SFC,140 STD,,MON - FRI,RTAF Flying Training,High speed combat manoeuvring,"Planned activation time and level to be specified in AUP/
UUP or NOTAM.
Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext. 42908, 42909"
TRA,VTTRA5,"PRACHUAP, KHIRI KHAN",GND SFC,6500 MSL,,MON - FRI,RTAF Flying Training,High speed combat manoeuvring,"Planned activation time and level to be specified in AUP/
UUP or NOTAM.
Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext. 40555, 40556"
TRA,VTTRA46,PHITSANULOK,GND SFC,6500 MSL,,MON - FRI,RTAF Flying Training,High speed combat manoeuvring,"Planned activation time and level to be specified in AUP/
UUP or NOTAM.
, if unable contact Takhli Approach freq.
124.0 or 325.0 Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext. 55164, 55157
7
6 CONTACT
For additional information or clarification regarding the revision of Thailand's special use airspace, please contact:
6.1 The Civil Aviation Authority of Thailand (CAAT)  - Air Navigation Services Standards Department (ANS)
MR. PAWAT HARNBUMRUNGKIT
Tel: +662 568 8800 Ext. 0810
E-mail: pawat.h@caat.or.th
MR. APIWAT CHANRUEANG
Tel: +662 568 8800 Ext. 0837
E-mail: apiwat.c@caat.or.th
6.2 Airspace Management Cell (Thailand)
MR. THONGCHAI JAMPHATHIPPONG: Director of Airspace Management Cell (Thailand)
Tel: +662 307 2367
E-mail: thaicmac15@aerothai.co.th
7 VALIDITY
This AIRAC AIP Supplement will remain in force until its contents are incorporated into AIP Thailand. Any changes to this AIRAC AIP Supplement
will be notified by NOTAM."
TRA,VTTRA56A,SONGKHLA,GND SFC,460 STD,,MON - FRI,RTAF Flying Training,High speed combat manoeuvring,"Planned activation time and level to be specified in AUP/
UUP or NOTAM.
, if unable contact Hat Yai Approach freq.
126.7 or 301.5 except in Narathiwat TMA
contact Narathiwat Tower freq. 122.7 or 236.6 Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext. 63555, 63520"
TRA,VTTRA56B,SONGKHLA,GND SFC,460 STD,,MON - FRI,RTAF Flying Training,High speed combat manoeuvring,"Planned activation time and level to be specified in AUP/
UUP or NOTAM.
, if unable contact Hat Yai Approach freq.
126.7 or 301.5 except in Narathiwat TMA
contact Narathiwat Tower freq. 122.7 or 236.6 Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext. 63555, 63520
Lower limit
risk of interception)
8
- END -"
