callsign,actype,adep,ades,eobt,rfl,dep_rwy,arr_rwy,sid,star,approach,route
THY68,B789,LTFM,VTBS,2025-12-22T22:40:00Z,390,,RW01,,WILA1D,R01,LUDVI L507 IGONI
BKP1111,A319,VTBS,VTSM,2025-12-22T22:45:00Z,150,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
TLM219,B738,VABB,VTBD,2025-12-22T22:50:00Z,370,,RW21R,,WEHA3A,R21R,BETNO P646 TARED
CQH8891,A320,ZSPD,VTBS,2025-12-22T22:55:00Z,340,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
FIN151,A359,UBBB,VTSP,2025-12-22T22:55:00Z,410,,RW09,,SATV1C,,TAVUN L759 SATVA
SIA724,B38M,WSSS,VTSP,2025-12-22T22:55:00Z,360,,RW09,,URGA1C,,DUBAX R325 URGAD
AIQ396,A320,VTBD,WADD,2025-12-22T23:00:00Z,330,RW21L,,KIGO3C,,,KIGOB Y11 BUT M904 TIDAR
AXM854,A320,WMKK,VTCC,2025-12-22T23:00:00Z,340,,RW36,,MARN2A,R36,RIGTO M769 BKK Y26 MARNI
CAL833,A333,RCTP,VTBS,2025-12-22T23:00:00Z,380,,RW01,,EAST1D,R01,BUTRA A1 UBL Y20 GRASO Y13 RUKSA
SIA706,B38M,WSSS,VTBS,2025-12-22T23:00:00Z,400,,RW01,,TUMG1D,R01,ABTOK M644 ALUMO Y12 ALEMI
TGW640,E290,WSSS,VTSM,2025-12-22T23:00:00Z,380,,RW17,,,R17,KADAX M626 IKOGA Y95 RUMVA
THA476,A359,YSSY,VTBS,2025-12-22T23:00:00Z,380,,RW01,,TUMG1D,R01,TIDAR M904 TONIK M644 ALUMO Y12 ALEMI
UAE378,B77W,OMDB,VTSP,2025-12-22T23:00:00Z,370,,RW09,,UBNE1C,,SAPAM L645 UBNEN
THY59,A333,VTBS,LTFM,2025-12-22T23:01:00Z,320,RW02R,,TARE1H,,,TARED P646 BETNO
UAE384,A388,OMDB,VTBS,2025-12-22T23:05:00Z,390,,RW01,,WILA1D,R01,NURDA L524 IBETO
AXM818,A320,WMKK,VTSP,2025-12-22T23:10:00Z,360,,RW09,,URGA1C,,DUBAX R325 URGAD
BKP109,AT76,VTBS,VTSM,2025-12-22T23:10:00Z,150,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
CQH6299,A320,ZLXY,VTBS,2025-12-22T23:10:00Z,320,,RW01,,NORT1D,R01,YAKUA B346 NOBER
NWS3481,A320,UUEE,VTSP,2025-12-22T23:10:00Z,370,,RW09,,SATV1C,,TAVUN L759 SATVA
THY172,A333,LTFM,VTSP,2025-12-22T23:10:00Z,390,,RW09,,SATV1C,,TAVUN L759 SATVA
TVJ330,B38M,VTBS,VTSF,2025-12-22T23:10:00Z,330,RW02R,RW19,KASN1H,,R19,KASNI M757 LOSDA Y94 NKS
AIQ556,A320,VTBD,ZUCK,2025-12-22T23:15:00Z,330,RW21L,,NOBE4C,,,NOBER B346 YAKUA
TLM394,B739,VTBD,RCTP,2025-12-22T23:15:00Z,330,RW21L,,UPKU3C,,,UPKUP Y16 BUTRA
TLM702,B738,VTBD,VTSS,2025-12-22T23:15:00Z,350,RW21L,RW26,KASN3C,OBLE1A,R26,KASNI M757 OBLEX
BKP105,A319,VTBS,VTSM,2025-12-22T23:20:00Z,330,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
CAL851,A21N,RCTP,VTCC,2025-12-22T23:20:00Z,300,,RW36,,MONL2A,R36,VTN R207 MONLO
EVA257,A321,RCTP,VTCC,2025-12-22T23:20:00Z,340,,RW36,,MONL2A,R36,VTN R207 MONLO
NOK124,B738,VTBD,VTCC,2025-12-22T23:20:00Z,70,RW21L,RW36,OLVU3C,MARN2A,R36,OLVUK Y26 MARNI
QFA295,A333,YSSY,VTBS,2025-12-22T23:20:00Z,400,,RW01,,TUMG1D,R01,TIDAR M904 TONIK M644 ALUMO Y12 ALEMI
AIQ1042,A320,VTBD,VLVT,2025-12-22T23:25:00Z,310,RW21L,,NOBE4C,,,NOBER W21 UDN R470 VTN
AIQ3160,A320,VTCC,VTSP,2025-12-22T23:25:00Z,380,RW36,RW09,PANT2C,SAVS1C,,PANTA Y7 BKK Y8 SAVSA
HKE724,A21N,VHHH,VTSP,2025-12-22T23:25:00Z,340,,RW09,,SAVS1C,,BUTRA A1 UBL W1 RAMEI W42 MENEX Y8 SAVSA
KMI525,B738,VTBS,VVNB,2025-12-22T23:25:00Z,370,RW02R,,UGUV1H,,,UGUVO Y27 PIBAN Y29 PSL W26 CMP R474 VTN
MMA376,A319,VYYY,VTCC,2025-12-22T23:25:00Z,170,,RW36,,PUMA2A,R36,BOMAS A581 PUMAM
QTR840,B77W,OTHH,VTSP,2025-12-22T23:25:00Z,350,,RW09,,UBNE1C,,SAPAM L645 UBNEN
TLM800,B738,VTBD,VTSG,2025-12-22T23:25:00Z,340,RW21L,RW32,SABI3C,NULM1E,R32,SABIS Y8 SAPUD W32 NULMA
AIQ3036,A320,VTSP,VTBD,2025-12-22T23:30:00Z,370,RW09,RW21R,IGEV1A,SABA3A,R21R,IGEVI Y5 EGUBO Y99 HOTEL DCT SABAI
AIQ3417,A320,VTCC,VTBD,2025-12-22T23:30:00Z,350,RW36,RW21R,PANT2C,NAKO3A,R21R,PANTA Y7 BLAFF DCT NAKON
BKP107,A319,VTBS,VTSM,2025-12-22T23:30:00Z,150,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
MMA364,A319,VYYY,VTBD,2025-12-22T23:30:00Z,310,,RW21R,,WEHA3A,R21R,BETNO P646 TARED
NOK520,B738,VTBD,VTSP,2025-12-22T23:30:00Z,340,RW21L,RW09,SABI3C,SAVS1C,,SABIS Y8 SAVSA
QTR836,A388,OTHH,VTBS,2025-12-22T23:30:00Z,390,,RW01,,WILA1D,R01,NURDA L524 IBETO
SNY22,A320,VTBD,VTUL,2025-12-22T23:30:00Z,80,RW21L,RW19,NOBE4C,,R19,NOBER W21 CMP B218 BOVGO
SNY25,A320,VTBD,VTSE,2025-12-22T23:30:00Z,90,RW21L,RW24,SABI3C,,R24,SABIS Y8 MENEX W34 CPN
TLM117,B738,WIII,VTBD,2025-12-22T23:30:00Z,360,,RW21R,,SEHN3A,R21R,ABTOK M644 RYN
TVJ130,B38M,VTBS,VTCT,2025-12-22T23:30:00Z,300,RW02R,RW03,UGUV1H,,R03,UGUVO Y27 IKISU W22 BENVI
AIQ3102,A20N,VTBD,VTSS,2025-12-22T23:35:00Z,370,RW21L,RW26,KASN3C,OBLE1A,R26,KASNI M757 OBLEX
AIQ4402,A320,VTBS,VTSG,2025-12-22T23:35:00Z,380,RW02R,RW32,VANK1H,NULM1E,R32,VANKO Y8 SAPUD W32 NULMA
CEB5959,A21N,VTBD,RPVM,2025-12-22T23:35:00Z,330,RW21L,,GORS3C,,,GORSI N506 GOMES B204 AGEDO
FDX6001,B763,VVNB,VTBS,2025-12-22T23:35:00Z,320,,RW01,,NORT1D,R01,VTN R470 UDN W21 NOBER
THA259,A320,VTBS,VTSS,2025-12-22T23:35:00Z,350,RW02R,RW26,KASN1H,OBLE1A,R26,KASNI M757 OBLEX
TVJ100,B38M,VTBS,VTCC,2025-12-22T23:35:00Z,340,RW02R,RW36,OLVU1H,MARN2A,R36,OLVUK Y26 MARNI
AFL651,A333,VTBS,UNNT,2025-12-22T23:40:00Z,350,RW02R,,UGUV1H,,,UGUVO Y27 IKISU W22 CTR A581 PONUK
AIQ311,A320,VTBD,WMKK,2025-12-22T23:40:00Z,370,RW21L,,KIGO3C,,,KIGOB Y11 PASVA
AIQ3510,A320,VTBD,VTUI,2025-12-22T23:40:00Z,350,RW21L,RW05,ROBK3C,,R05,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
AMU996,A321,VMMC,VTBS,2025-12-22T23:40:00Z,340,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
BKP1103,A319,VTBS,VTSM,2025-12-22T23:40:00Z,330,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
EVA075,B77W,RCTP,VTBS,2025-12-22T23:40:00Z,340,,RW01,,EAST1D,R01,BUTRA A1 UBL Y20 GRASO Y13 RUKSA
HKE756,A21N,VHHH,VTCC,2025-12-22T23:40:00Z,300,,RW36,,MONL2A,R36,TOMIP R215 NAN W12 MONLO
KMI802,B734,VTBS,VDTI,2025-12-22T23:40:00Z,330,RW02R,,GOME1S,,,GOMES N506 BOKAK
SVA846,B78X,OERK,VTBS,2025-12-22T23:40:00Z,390,,RW01,,WILA1D,R01,TANEK L301 PASTO
AIQ3437,A21N,VTBD,VTCC,2025-12-22T23:45:00Z,340,RW21L,RW36,OLVU3C,MARN2A,R36,OLVUK Y26 MARNI
AIQ3566,A320,VTBD,VTUV,2025-12-22T23:45:00Z,310,RW21L,RW36,ROBK3C,,R36,ROBKA A1 TOPER W42 RAMEI W38
AIQ775,A320,VTBD,VMMC,2025-12-22T23:45:00Z,370,RW21L,,ROBK3C,,,ROBKA A1 SANOT Y15 GUROK A202 SAV
BKP450,AT76,VTSM,VTBD,2025-12-22T23:45:00Z,160,RW35,RW21R,OLBA1B,SABA3A,R21R,OLBAG Y17 DONSI M769 GOKEX Y96 EMTIX Y99 HOTEL DCT SABAI
NOK539,B738,VTSP,VTBD,2025-12-22T23:45:00Z,390,RW09,RW21R,IGEV1A,SABA3A,R21R,IGEVI Y5 EGUBO Y99 HOTEL DCT SABAI
TLM750,B738,VTBD,VTSP,2025-12-22T23:45:00Z,340,RW21L,RW09,SABI3C,SAVS1C,,SABIS Y8 SAVSA
UPS147,B763,VTBS,WMKP,2025-12-22T23:45:00Z,310,RW02R,,KASN1H,,,KASNI M757 OBLEX Y10 HTY A457 TAMOS
AIQ3235,A21N,VTBD,VTSB,2025-12-22T23:50:00Z,320,RW21L,RW22,SABI3C,IKER1A,R22,SABIS Y8 IKERA
AIQ4150,A320,VTBS,VTCT,2025-12-22T23:50:00Z,360,RW02R,RW03,UGUV1H,,R03,UGUVO Y27 IKISU W22 BENVI
AZV2951,A320,USCC,VTSP,2025-12-22T23:50:00Z,370,,RW09,,SATV1C,,TAVUN L759 SATVA
HKE704,A21N,VHHH,VTBS,2025-12-22T23:50:00Z,340,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
NOK123,B738,VTCC,VTBD,2025-12-22T23:50:00Z,350,RW36,RW21R,PANT2C,NAKO3A,R21R,PANTA Y7 BLAFF DCT NAKON
TVJ314,A321,VTBS,VTSP,2025-12-22T23:50:00Z,340,RW02R,RW09,VANK1H,SAVS1C,,VANKO Y8 SAVSA
AIQ3199,A320,VTBD,VTCT,2025-12-22T23:55:00Z,360,RW21L,RW03,UGUV3C,,R03,UGUVO Y27 IKISU W22 BENVI
AIQ3522,A320,VTBD,VTUO,2025-12-22T23:55:00Z,250,RW21L,RW04,ROBK3C,,R04,ROBKA A1 TOPER W42 RAMEI W38
AIQ642,A320,VTBD,VVNB,2025-12-22T23:55:00Z,350,RW21L,,UGUV3C,,,UGUVO Y27 PIBAN Y29 PSL W26 CMP R474 VTN
IGO1073,A21N,VIDP,VTSP,2025-12-22T23:55:00Z,350,,RW09,,SATV1C,,TAVUN L759 SATVA
THA002,A21N,VTBS,VTUD,2025-12-22T23:55:00Z,270,RW02R,RW30,SELK1H,ANPU1C,R30,SELKA Y14 KRT Y23 KKN Y23/Y22
THA040,A320,VTBS,VTUK,2025-12-22T23:55:00Z,230,RW02R,RW03,SELK1H,,R03,SELKA Y14 KRT Y23 KKN Y23/Y22
TVJ811,B38M,RJFF,VTBS,2025-12-22T23:55:00Z,360,,RW01,,EAST1D,R01,BUTRA A1 UBL Y20 GRASO Y13 RUKSA
MSR5111,A320,VTBS,OJAI,2025-12-22T23:59:00Z,320,RW02R,,PAST1H,,,PASTO L301 TANEK
UAE376,A388,OMDB,VTBS,2025-12-22T23:59:00Z,410,,RW01,,WILA1D,R01,NURDA L524 IBETO
AIQ3221,A320,VTBD,VTSG,2025-12-23T00:00:00Z,340,RW21L,RW32,SABI3C,NULM1E,R32,SABIS Y8 SAPUD W32 NULMA
AIQ3308,A320,VTBD,VTPP,2025-12-23T00:00:00Z,220,RW21L,RW32,UGUV3C,,R32,UGUVO Y27 PIBAN
AIQ359,A320,VTBD,WSSS,2025-12-23T00:00:00Z,350,RW21L,,KIGO3C,,,KIGOB Y11 PASVA
BKP102,A319,VTSM,VTBS,2025-12-23T00:00:00Z,340,RW35,RW01,OLBA1B,LEBI1D,R01,OLBAG Y17 DONSI M769 LEBIM
BKP125,A319,VTBS,VTSM,2025-12-23T00:00:00Z,310,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
BKP211,AT76,VTBS,VTPO,2025-12-23T00:00:00Z,160,RW02R,RW36,OLVU1H,,R36,OLVUK Y26 ELDAL Y32 KIMET
CBY101,AT75,VTBD,VTSS,2025-12-23T00:00:00Z,170,RW21L,RW26,KASN3C,OBLE1A,R26,KASNI M757 OBLEX
THA020,A320,VTBS,VTUU,2025-12-23T00:00:00Z,270,RW02R,RW05,SELK1H,VENP1C,R05,SELKA A1
TLM782,B738,VTBD,VTSF,2025-12-23T00:00:00Z,310,RW21L,RW19,KASN3C,,R19,KASNI M757 LOSDA Y94 NKS
WHK03,A320,VTBD,VTCC,2025-12-23T00:00:00Z,340,RW21L,RW36,OLVU3C,MARN2A,R36,OLVUK Y26 MARNI
AIQ4101,A320,VTCC,VTBS,2025-12-23T00:05:00Z,350,RW36,RW01,PANT2C,NORT1D,R01,PANTA Y7 BLAFF DCT NORTA
AIQ4350,A320,VTBS,VTUD,2025-12-23T00:05:00Z,290,RW02R,RW30,SELK1H,ANPU1C,R30,SELKA Y14 KRT Y23 KKN Y23/Y22
AIQ570,A320,VTBD,ZHHH,2025-12-23T00:05:00Z,350,RW21L,,NOBE4C,,,NOBER W21 CMP R474 VTN
BKP261,A319,VTBS,VTSG,2025-12-23T00:05:00Z,360,RW02R,RW32,VANK1H,NULM1E,R32,VANKO Y8 SAPUD W32 NULMA
CSN357,A21N,ZGGG,VTBS,2025-12-23T00:05:00Z,300,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
EVA067,B77W,RCTP,VTBS,2025-12-23T00:05:00Z,340,,RW01,,EAST1D,R01,BUTRA A1 UBL Y20 GRASO Y13 RUKSA
THA637,A320,RCTP,VTBS,2025-12-23T00:05:00Z,340,,RW01,,EAST1D,R01,BUTRA A1 UBL Y20 GRASO Y13 RUKSA
TVJ210,B38M,VTBS,VTUK,2025-12-23T00:05:00Z,250,RW02R,RW03,SELK1H,,R03,SELKA Y14 KRT Y23 KKN Y23/Y22
TVJ340,A321,VTBS,VTSG,2025-12-23T00:05:00Z,360,RW02R,RW32,VANK1H,NULM1E,R32,VANKO Y8 SAPUD W32 NULMA
AIQ3116,A320,VTBD,VTSS,2025-12-23T00:10:00Z,370,RW21L,RW26,KASN3C,OBLE1A,R26,KASNI M757 OBLEX
AIQ3188,A320,VTBD,VTSF,2025-12-23T00:10:00Z,350,RW21L,RW19,KASN3C,,R19,KASNI M757 LOSDA Y94 NKS
AIQ608,A320,VTBD,VDTI,2025-12-23T00:10:00Z,390,RW21L,,GORS3C,,,GORSI N506 BOKAK
ANA806,B789,VTBS,RJAA,2025-12-23T00:10:00Z,370,RW02R,,LIPL1S,,,LIPLI Y16 BUTRA
CES9639,B738,ZPPP,VTCC,2025-12-23T00:10:00Z,340,,RW36,,MONL2A,R36,VTN R207 MONLO
THA426,A320,WMKP,VTBS,2025-12-23T00:10:00Z,360,,RW01,,LEBI1D,R01,RIGTO M769 LEBIM
UBA019,B738,VYYY,VTBS,2025-12-23T00:10:00Z,350,,RW01,,WILA1D,R01,BETNO G463 TARED
AIQ3034,A320,VTBD,VTSP,2025-12-23T00:15:00Z,360,RW21L,RW09,SABI3C,SAVS1C,,SABIS Y8 SAVSA
AIQ3362,A320,VTBD,VTUD,2025-12-23T00:15:00Z,270,RW21L,RW30,ROBK3C,ANPU1C,R30,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
AIQ3398,A320,VTBD,VTUW,2025-12-23T00:15:00Z,370,RW21L,RW15,ROBK3C,,R15,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
AWQ250,A320,WIII,VTBD,2025-12-23T00:15:00Z,360,,RW21R,,SEHN3A,R21R,ABTOK M644 RYN
BKP110,AT76,VTSM,VTBS,2025-12-23T00:15:00Z,160,RW35,RW01,OLBA1B,LEBI1D,R01,OLBAG Y17 DONSI M769 LEBIM
CHH423,B38M,ZUCK,VTBS,2025-12-23T00:15:00Z,320,,RW01,,NORT1D,R01,VTN R470 UDN W21 NOBER
CSZ281,A20N,ZBYC,VTBS,2025-12-23T00:15:00Z,360,,RW01,,NORT1D,R01,VTN R470 UDN W21 NOBER
TAX601,A333,RJAA,VTBD,2025-12-23T00:15:00Z,340,,RW21R,,ENDU3A,R21R,BUTRA A1 UBL Y20 UBLOD
THA402,A320,WSSS,VTBS,2025-12-23T00:15:00Z,380,,RW01,,TUMG1D,R01,ABTOK M644 ALUMO Y12 ALEMI
THA663,B772,ZSPD,VTBS,2025-12-23T00:15:00Z,400,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
AIQ251,A320,VTBD,VYYY,2025-12-23T00:20:00Z,340,RW21L,,TARE3C,,,TARED P646 BETNO
SIA726,B38M,WSSS,VTSP,2025-12-23T00:20:00Z,360,,RW09,,URGA1C,,DUBAX R325 URGAD
TLM670,B738,VTBD,VTUW,2025-12-23T00:20:00Z,350,RW21L,RW15,ROBK3C,,R15,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
AIQ3148,A320,VTBD,VTSE,2025-12-23T00:25:00Z,280,RW21L,RW24,SABI3C,,R24,SABIS Y8 MENEX W34 CPN
AIQ3250,A320,VTBD,VTUK,2025-12-23T00:25:00Z,310,RW21L,RW03,ROBK3C,,R03,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
AIQ634,A21N,VTBD,VVDN,2025-12-23T00:25:00Z,330,RW21L,,UPKU3C,,,UPKUP Y16 BUTRA
EVA211,B77W,RCTP,VTBS,2025-12-23T00:25:00Z,360,,RW01,,EAST1D,R01,BUTRA A1 UBL Y20 GRASO Y13 RUKSA
