callsign,actype,adep,ades,eobt,rfl,dep_rwy,arr_rwy,sid,star,approach,route
AIC2333,A20N,VTBS,VIDP,2026-07-09T00:35:00Z,340,RW20L,,TARE1E,,,TARED P646 BETNO
TVJ317,A321,VTSP,VTBS,2026-07-09T00:35:00Z,330,RW27,RW19,EMRI1B,LEBI1C,R19,EMRIT Y99 NONEL Y98 LEBIM
UBA019,B738,VYYY,VTBS,2026-07-09T00:35:55Z,350,,RW19,,WILA1C,R19,BETNO G463 TARED
BKP903,AT76,VTBS,VDSA,2026-07-09T00:36:00Z,170,RW20L,,GOME1E,,,GOMES N506 BOKAK
AIQ656,A320,VTBD,VVTS,2026-07-09T00:36:00Z,330,RW21L,,GORS1B,,,GORSI N506 BOKAK
TLM752,B738,VTBD,VTSP,2026-07-09T00:39:00Z,340,RW21L,RW27,SABI2B,SAVS1C,,SABIS Y8 SAVSA
AIQ3417,A320,VTCC,VTBD,2026-07-09T00:40:00Z,350,RW36,RW21R,PANT2C,NAKO1B,R21R,PANTA Y7 BLAFF DCT NAKON
THA323,A320,VTBS,VIDP,2026-07-09T00:42:00Z,340,RW20L,,TARE1E,,,TARED P646 BETNO
NOK301,B738,VTUD,VTBD,2026-07-09T00:43:00Z,340,RW12,RW21R,ANPU1B,ENDU1B,R21R,Y22/Y23 KKN Y23 KRT Y20 UBLOD DCT ENDUU
AIQ634,A21N,VTBD,VVDN,2026-07-09T00:44:00Z,330,RW21L,,UPKU3A,,,UPKUP Y16 BUTRA
THA620,A21N,VTBS,RPLL,2026-07-09T00:45:00Z,330,RW20L,,GOME1E,,,GOMES B204 AGEDO
AIQ3039,A320,VTBD,VTSP,2026-07-09T00:46:00Z,360,RW21L,RW27,SABI2B,SAVS1C,,SABIS Y8 SAVSA
CPA700,A333,VTBS,VHHH,2026-07-09T00:47:00Z,410,RW20L,,LIPL1J,,,LIPLI Y16 BUTRA
AXM880,A320,WMKK,VTBD,2026-07-09T00:47:33Z,360,,RW21R,,SABA1B,R21R,RIGTO M769 GOKEX Y96 EMTIX Y99 HOTEL
BKP251,AT76,VTSM,VTSP,2026-07-09T00:48:00Z,140,RW17,RW27,DORN1A,SAVS1C,,DORNA W32 SAPUD Y8 SAVSA
AIQ480,A320,VTBD,ZGHA,2026-07-09T00:48:00Z,350,RW21L,,NOBE2B,,,NOBER W21 CMP R474 VTN
THA586,A320,VTBS,VDTI,2026-07-09T00:49:00Z,330,RW20L,,GOME1E,,,GOMES N506 BOKAK
ALK403,A20N,VTBS,VCBI,2026-07-09T00:50:00Z,300,RW20L,,PAST1E,,,PASTO L301 TANEK
THA550,A320,VTBS,VVTS,2026-07-09T00:52:00Z,330,RW20L,,GOME1E,,,GOMES N506 BOKAK
THA102,A320,VTBS,VTCC,2026-07-09T00:54:00Z,300,RW20L,RW36,OLVU1E,MARN2A,R36,OLVUK Y26 MARNI
CES9622,B738,VTBS,ZPPP,2026-07-09T00:57:00Z,340,RW20L,,UGUV1E,,,UGUVO Y27 IKISU W22 CTR A581 PONUK
BKP102,A319,VTSM,VTBS,2026-07-09T00:57:00Z,300,RW17,RW19,OLBA1B,LEBI1C,R19,OLBAG Y17 DONSI M769 LEBIM
LAO305,A320,VLVT,VLPS,2026-07-09T00:57:04Z,290,,,,,,VTN R470 UBL B202 PAK
AXM891,A320,VTBD,WMKK,2026-07-09T00:58:00Z,370,RW21L,,KIGO1B,,,KIGOB Y11 PASVA
NOK551,B738,VTSF,VTBD,2026-07-09T00:58:00Z,360,RW01,RW21R,TAWI1A,SABA1B,R21R,NKS Y94 DOXAS M769 GOKEX Y96 EMTIX Y99 HOTEL DCT SABAI
THA241,A320,VTBS,VTSG,2026-07-09T01:00:00Z,320,RW20L,RW32,VANK1E,NULM1E,R32,VANKO Y8 SAPUD W32 NULMA
TLM503,B738,VTCC,VTBD,2026-07-09T01:00:00Z,330,RW36,RW21R,PANT2C,NAKO1B,R21R,PANTA Y7 BLAFF DCT NAKON
THA676,B77W,VTBS,RJAA,2026-07-09T01:01:00Z,330,RW20L,,LIPL1J,,,LIPLI Y16 BUTRA
AIQ1043,A320,VLVT,VTBD,2026-07-09T01:02:52Z,340,,RW21R,,NAKO1B,R21R,VTN CMP W21 NOBER
RTAF220,A320,VTBD,WMKK,2026-07-09T01:03:00Z,350,RW21L,,KASN1B,,,KASNI M757 KARMI
THA560,A320,VTBS,VVNB,2026-07-09T01:04:00Z,340,RW20L,,UGUV1E,,,UGUVO Y27 PIBAN Y29 PSL W26 CMP R474 VTN
AIQ4124,A320,VTBS,VTSP,2026-07-09T01:06:00Z,360,RW20L,RW27,VANK1E,SAVS1C,,VANKO Y8 SAVSA
AIQ3354,A320,VTBD,VTUD,2026-07-09T01:06:00Z,270,RW21L,RW30,ROBK3A,ANPU1A,R30,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
LAO223,AT76,VLVT,VLSK,2026-07-09T01:07:07Z,170,,,,,,VTN R470 ROT B460 SAV
AIQ646,A320,VTBD,VVCR,2026-07-09T01:08:00Z,330,RW21L,,GORS1B,,,GORSI N506 GOMES B204 AGEDO
THA201,A320,VTBS,VTSP,2026-07-09T01:08:00Z,320,RW20L,RW27,VANK1E,SAVS1C,,VANKO Y8 SAVSA
AIQ3510,A320,VTBD,VTUI,2026-07-09T01:09:00Z,330,RW21L,RW05,ROBK3A,,R05,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
THA402,A320,WSSS,VTBS,2026-07-09T01:09:16Z,340,,RW19,,TUMG1C,R19,ABTOK M644 ALUMO Y12 ALEMI
BKP271,A319,VTBS,VTSP,2026-07-09T01:10:00Z,340,RW20L,RW27,VANK1E,SAVS1C,,VANKO Y8 SAVSA
NOK121,B738,VTCC,VTBD,2026-07-09T01:10:00Z,370,RW36,RW21R,PANT2C,NAKO1B,R21R,PANTA Y7 BLAFF DCT NAKON
AIQ3398,A320,VTBD,VTUW,2026-07-09T01:13:00Z,370,RW21L,RW15,ROBK3A,,R15,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
TVJ415,A320,VTSP,VTCC,2026-07-09T01:13:00Z,370,RW27,RW36,IGEV1B,MARN2A,R36,IGEVI Y5 EGUBO Y99 BKK Y26 MARNI
UPS147,B763,VTBS,WMKP,2026-07-09T01:14:00Z,350,RW20L,,KASN1E,,,KASNI M757 OBLEX Y10 HTY A457 TAMOS
TLM532,B739,VTBD,VTCT,2026-07-09T01:15:00Z,360,RW21L,RW03,UGUV1B,,R03,UGUVO Y27 IKISU W22 BENVI
IGO1214,A21N,VTBS,VOBL,2026-07-09T01:16:00Z,360,RW20L,,PAST1E,,,PASTO L301 TANEK
AIQ582,A320,VTBD,ZPPP,2026-07-09T01:17:00Z,370,RW21L,,NOBE2B,,,NOBER W21 UDN R470 VTN
TLM703,B738,VTSS,VTBD,2026-07-09T01:17:00Z,360,RW26,RW21R,DAND1C,SABA1B,R21R,DANDO M769 GOKEX Y96 EMTIX Y99 HOTEL DCT SABAI
JAL708,B788,VTBS,RJAA,2026-07-09T01:18:00Z,410,RW20L,,LIPL1J,,,LIPLI Y16 BUTRA
BKP104,A319,VTSM,VTBS,2026-07-09T01:18:00Z,300,RW17,RW19,OLBA1B,LEBI1C,R19,OLBAG Y17 DONSI M769 LEBIM
BKP123,A319,VTBS,VTSM,2026-07-09T01:18:00Z,310,RW20L,RW17,KASN1E,,R17,KASNI M757 MABKO W33 SMU
THA403,A359,VTBS,WSSS,2026-07-09T01:20:00Z,390,RW20L,,BUT1E,,,BUT Y11 PASVA
MMA501,A319,VYYY,WMKK,2026-07-09T01:20:30Z,350,,,,,,EKAVO M626 VALSI M757 KARMI
VPBFP,A318,VTBD,VRMG,2026-07-09T01:21:00Z,380,RW21L,,PAST1B,,,PASTO L301 TANEK
THA652,A359,VTBS,RKSI,2026-07-09T01:22:00Z,390,RW20L,,LIPL1J,,,LIPLI Y16 BUTRA
TVJ964,B38M,VTBS,VVDN,2026-07-09T01:22:00Z,330,RW20L,,LIPL1J,,,LIPLI Y16 BUTRA
N519CP,GLEX,VTBD,VVNB,2026-07-09T01:23:00Z,400,RW21L,,UGUV1B,,,UGUVO Y27 PIBAN Y29 PSL W26 CMP R474 VTN
THA600,B77W,VTBS,VHHH,2026-07-09T01:24:00Z,330,RW20L,,SELK1F,,,SELKA A1 SANOT Y15 GUROK A202 SAV
BKP215,A320,VTBS,VTCC,2026-07-09T01:24:00Z,320,RW20L,RW36,OLVU1E,MARN2A,R36,OLVUK Y26 MARNI
BKP110,AT76,VTSM,VTBS,2026-07-09T01:24:00Z,160,RW17,RW19,OLBA1B,LEBI1C,R19,OLBAG Y17 DONSI M769 LEBIM
THY59,A333,VTBS,LTFM,2026-07-09T01:26:00Z,360,RW20L,,TARE1E,,,TARED P646 BETNO
AIQ3567,A320,VTUV,VTBD,2026-07-09T01:27:00Z,300,RW18,RW21R,ANKI1A,ENDU1B,R21R,W38 RAMEI Y20 UBLOD DCT ENDUU
THA433,A333,VTBS,WIII,2026-07-09T01:28:00Z,350,RW20L,,BUT1E,,,BUT Y11 PASVA
AIQ3103,A320,VTSS,VTBD,2026-07-09T01:28:00Z,380,RW26,RW21R,DAND1C,SABA1B,R21R,DANDO M769 GOKEX Y96 EMTIX Y99 HOTEL DCT SABAI
TVJ200,B38M,VTBS,VTUD,2026-07-09T01:29:00Z,330,RW20L,RW30,SELK1F,ANPU1A,R30,SELKA Y14 KRT Y23 KKN Y23/Y22
AIQ3248,A20N,VTBD,VTUK,2026-07-09T01:29:00Z,270,RW21L,RW03,ROBK3A,,R03,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
THA130,A320,VTBS,VTCT,2026-07-09T01:30:00Z,340,RW20L,RW03,UGUV1E,,R03,UGUVO Y27 IKISU W22 BENVI
TLM824,B738,VTBD,VTST,2026-07-09T01:30:00Z,340,RW21L,RW08,SABI2B,,R08,SABIS Y8 SAPUD W24 TRN
AIQ3523,A320,VTUO,VTBD,2026-07-09T01:30:00Z,240,RW22,RW21R,OMNI,ENDU1B,R21R,W38 RAMEI Y20 UBLOD DCT ENDUU
CSN362,A21N,VTBS,ZGGG,2026-07-09T01:32:00Z,330,RW20L,,SELK1F,,,SELKA A1 SANOT Y15 GUROK A202 SAV
THA041,A320,VTUK,VTBS,2026-07-09T01:32:00Z,240,RW21,RW19,EMRU1A,EAST1C,R19,Y22/Y23 KKN Y23 KRT Y20 UBLOD DCT EASTE
THA461,A359,VTBS,YMML,2026-07-09T01:34:00Z,330,RW20L,,BUT1E,,,BUT M904 TIDAR
CES9639,B738,ZPPP,VTCC,2026-07-09T01:34:05Z,320,,RW36,,MONL2B,R36,VTN R207 MONLO
AXM819,A320,VTSP,WMKK,2026-07-09T01:35:00Z,390,RW27,,REBE1B,,,REBED B579 DALAN
AIQ3309,A320,VTPP,VTBD,2026-07-09T01:35:00Z,230,RW32,RW21R,PEBL1A,NAKO1B,R21R,PEBLI Y28 BLAFF DCT NAKON
FDX6091,B763,VVTS,VTBS,2026-07-09T01:35:39Z,340,,RW19,,TUMG1C,R19,VAPVU P629 NUGPA
AIQ240,A20N,VTBD,ROAH,2026-07-09T01:36:00Z,350,RW21L,,UPKU3A,,,UPKUP Y16 BUTRA
THA203,A21N,VTBS,VTSP,2026-07-09T01:36:00Z,340,RW20L,RW27,VANK1E,SAVS1C,,VANKO Y8 SAVSA
TVJ720,A320,VTBS,VDTI,2026-07-09T01:37:00Z,310,RW20L,,GOME1E,,,GOMES N506 BOKAK
AIQ3371,A20N,VTUU,VTBD,2026-07-09T01:37:00Z,320,RW23,RW21R,ASAB1B,ENDU1B,R21R,Y20 UBLOD DCT ENDUU
AIQ5422,A320,VTCC,VTSB,2026-07-09T01:37:00Z,370,RW36,RW22,PANT2C,IKER1B,R22,PANTA Y7 BKK Y8 IKERA
AIQ3189,A20N,VTSF,VTBD,2026-07-09T01:38:00Z,380,RW01,RW21R,TAWI1A,SABA1B,R21R,NKS Y94 DOXAS M769 GOKEX Y96 EMTIX Y99 HOTEL DCT SABAI
AIQ3251,A320,VTUK,VTBD,2026-07-09T01:38:00Z,280,RW21,RW21R,EMRU1A,ENDU1B,R21R,Y22/Y23 KKN Y23 KRT Y20 UBLOD DCT ENDUU
TGW624,B788,WSSS,VTBS,2026-07-09T01:38:18Z,430,,RW19,,TUMG1C,R19,ABTOK M644 ALUMO Y12 ALEMI
AIQ3029,A21N,VTBD,VTSP,2026-07-09T01:39:00Z,360,RW21L,RW27,SABI2B,SAVS1C,,SABIS Y8 SAVSA
THA672,B77W,VTBS,RJBB,2026-07-09T01:40:00Z,330,RW20L,,LIPL1J,,,LIPLI Y16 BUTRA
TLM704,B738,VTBD,VTSS,2026-07-09T01:41:00Z,350,RW21L,RW26,KASN1B,OBLE1B,R26,KASNI M757 OBLEX
AIQ3438,A21N,VTCC,VTBD,2026-07-09T01:41:00Z,350,RW36,RW21R,PANT2C,NAKO1B,R21R,PANTA Y7 BLAFF DCT NAKON
BKP212,AT76,VTPO,VTBS,2026-07-09T01:41:00Z,170,RW18,RW19,PEBL1C,NORT1C,R19,PEBLI Y28 BLAFF DCT NORTA
CQH8512,A320,VTCC,ZSPD,2026-07-09T01:43:00Z,330,RW36,,MONL2C,,,MONLO R207 NAN R215 TOMIP
TLM506,B738,VTBD,VTCC,2026-07-09T01:43:00Z,320,RW21L,RW36,OLVU1B,MARN2A,R36,OLVUK Y26 MARNI
KAL9357,B744,WSSS,VTBS,2026-07-09T01:43:03Z,360,,RW19,,TUMG1C,R19,ABTOK M644 ALUMO Y12 ALEMI
THA632,B77W,VTBS,RCTP,2026-07-09T01:44:00Z,370,RW20L,,LIPL1J,,,LIPLI Y16 BUTRA
THA003,A21N,VTUD,VTBS,2026-07-09T01:44:00Z,280,RW12,RW19,ANPU1B,EAST1C,R19,Y22/Y23 KKN Y23 KRT Y20 UBLOD DCT EASTE
MMA365,A319,VTBD,VYYY,2026-07-09T01:45:00Z,340,RW21L,,TARE1B,,,TARED G463 BETNO
AIC2379,A20N,VTSP,VIDP,2026-07-09T01:45:00Z,340,RW27,,SATV1A,,,SATVA L759 TAVUN
TGW641,E290,VTSM,WSSS,2026-07-09T01:46:00Z,350,RW17,,RUMV1A,,,RUMVA Y95 IKOGA Y24 PASVA
T7CDS,GLF5,WSSL,ZUUU,2026-07-09T01:46:52Z,430,,,,,,GOLUD M751 BKK Y27 IKISU W22 CTR A581 PONUK
THA021,A320,VTUU,VTBS,2026-07-09T01:47:00Z,280,RW23,RW19,ASAB1B,EAST1C,R19,Y20 GRASO Y13 RUKSA DCT EASTE
NOK100,B738,VTBD,VTCT,2026-07-09T01:47:00Z,380,RW21L,RW03,UGUV1B,,R03,UGUVO Y27 IKISU W22 BENVI
CQH7286,A20N,VTBS,ZSPD,2026-07-09T01:48:00Z,330,RW20L,,SELK1F,,,SELKA A1 SANOT Y15 GUROK A202 SAV
AIC2381,A21N,WSSS,VIDP,2026-07-09T01:48:12Z,320,,,,,,DUBAX R325 PUT L759 TAVUN
CHH423,B38M,ZUCK,VTBS,2026-07-09T01:48:23Z,320,,RW19,,NORT1C,R19,VTN R470 UDN W21 NOBER
TLM783,B738,VTSF,VTBD,2026-07-09T01:49:00Z,320,RW01,RW21R,TAWI1A,SABA1B,R21R,NKS Y94 DOXAS M769 GOKEX Y96 EMTIX Y99 HOTEL DCT SABAI
AIQ3116,A320,VTBD,VTSS,2026-07-09T01:50:00Z,350,RW21L,RW26,KASN1B,OBLE1B,R26,KASNI M757 OBLEX
AIQ3236,A21N,VTSB,VTBD,2026-07-09T01:50:00Z,350,RW04,RW21R,NIXE1C,SABA1B,R21R,NIXET Y99 HOTEL DCT SABAI
CPA705,A333,VHHH,VTBS,2026-07-09T01:50:18Z,400,,RW19,,EAST1C,R19,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
EVA062,B78X,VTBS,RCTP,2026-07-09T01:51:00Z,370,RW20L,,LIPL1J,,,LIPLI Y16 BUTRA
THA475,A359,VTBS,YSSY,2026-07-09T01:51:00Z,330,RW20L,,BUT1E,,,BUT M904 TIDAR
BKP106,A319,VTSM,VTBS,2026-07-09T01:52:00Z,300,RW17,RW19,OLBA1B,LEBI1C,R19,OLBAG Y17 DONSI M769 LEBIM
AIQ3555,A20N,VTCN,VTBD,2026-07-09T01:52:00Z,320,RW20,RW21R,OMNI,NAKO1B,R21R,W29 PSL Y28 BLAFF DCT NAKON
CHH7939,A20N,ZJHK,VTBS,2026-07-09T01:52:03Z,260,,RW19,,EAST1C,R19,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
AIQ3201,A320,VTBD,VTCT,2026-07-09T01:53:00Z,360,RW21L,RW03,UGUV1B,,R03,UGUVO Y27 IKISU W22 BENVI
AIQ4104,A320,VTBS,VTCC,2026-07-09T01:53:00Z,340,RW20L,RW36,OLVU1E,MARN2A,R36,OLVUK Y26 MARNI
MMA335,A320,VYYY,VTBS,2026-07-09T01:54:17Z,330,,RW19,,WILA1C,R19,BETNO P646 TARED
NOK361,B738,VTUI,VTBD,2026-07-09T01:55:00Z,340,RW23,RW21R,OMNI,ENDU1B,R21R,Y22/Y23 KKN Y23 KRT Y20 UBLOD DCT ENDUU
CES7622,B738,VTCC,ZPPP,2026-07-09T01:58:00Z,270,RW36,,MONL2C,,,MONLO R207 IKISU W22 CTR A581 PONUK
AIQ3149,A320,VTSE,VTBD,2026-07-09T01:58:00Z,290,RW06,RW21R,OMNI,SABA1B,R21R,CPN W34 MENEX W42 EGUBO Y99 HOTEL DCT SABAI
BKP241,A319,VTSM,VTCC,2026-07-09T01:59:00Z,360,RW17,RW36,OLBA1B,MARN2A,R36,OLBAG Y17 DONSI M769 BKK Y26 MARNI
MAS784,B38M,WMKK,VTBS,2026-07-09T01:59:36Z,320,,RW19,,LEBI1C,R19,RIGTO M769 LEBIM
TVJ315,B38M,VTSP,VTBS,2026-07-09T02:00:00Z,330,RW27,RW19,EMRI1B,LEBI1C,R19,EMRIT Y99 NONEL Y98 LEBIM
BHD211,C750,VTBD,VTUK,2026-07-09T02:00:00Z,250,RW21L,RW03,ROBK3A,,R03,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
CSC9399,A321,ZGNN,VTBS,2026-07-09T02:01:42Z,340,,RW19,,NORT1C,R19,VTN R470 UDN W21 NOBER
OMA818,B789,VTBS,OOMS,2026-07-09T02:03:00Z,380,RW20L,,PAST1E,,,PASTO L301 TANEK
TVJ341,A321,VTSG,VTBS,2026-07-09T02:03:00Z,330,RW14,RW19,OSPE1G,LEBI1C,R19,OSPEX Y99 NONEL Y98 LEBIM
SIA7432,B77L,WSSS,VTBS,2026-07-09T02:03:16Z,380,,RW19,,TUMG1C,R19,ABTOK M644 ALUMO Y12 ALEMI
BKP451,AT76,VTBD,VTSM,2026-07-09T02:04:00Z,170,RW21L,RW17,KASN1B,,R17,KASNI M757 MABKO W33 SMU
T7A187,GLEX,WIHH,VTSG,2026-07-09T02:04:11Z,430,,RW32,,TUNR1E,R32,TAMOS A457 HTY W14 TRN W32 TUNRA
AIQ3071,A320,VTSG,VTCC,2026-07-09T02:05:00Z,370,RW14,RW36,OSPE1G,MARN2A,R36,OSPEX Y99 BKK Y26 MARNI
LKY04,C130,VTBD,VTSS,2026-07-09T02:07:00Z,210,RW21L,RW26,KASN1B,OBLE1B,R26,KASNI M757 OBLEX
TVJ211,B38M,VTUK,VTBS,2026-07-09T02:08:00Z,340,RW21,RW19,EMRU1A,EAST1C,R19,Y22/Y23 KKN Y23 KRT Y20 UBLOD DCT EASTE
MAS102,B38M,WMKK,VGHS,2026-07-09T02:09:10Z,340,,,,,,RIGTO M769 SORTO M626 EKAVO
BKP407,AT76,VTSM,VTSP,2026-07-09T02:12:00Z,140,RW17,RW27,DORN1A,SAVS1C,,DORNA W32 SAPUD Y8 SAVSA
TLM735,B738,VTSB,VTBD,2026-07-09T02:13:00Z,330,RW04,RW21R,NIXE1C,SABA1B,R21R,NIXET Y99 HOTEL DCT SABAI
CSN357,A21N,ZGGG,VTBS,2026-07-09T02:13:01Z,300,,RW19,,EAST1C,R19,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
CBY301,AT75,VTUU,VTBD,2026-07-09T02:16:00Z,160,RW23,RW21R,ASAB1B,ENDU1B,R21R,Y20 UBLOD DCT ENDUU
BKP262,A319,VTSG,VTBS,2026-07-09T02:16:00Z,350,RW14,RW19,OSPE1G,LEBI1C,R19,OSPEX Y99 NONEL Y98 LEBIM
BKP122,A319,VTSM,VTBS,2026-07-09T02:16:00Z,300,RW17,RW19,OLBA1B,LEBI1C,R19,OLBAG Y17 DONSI M769 LEBIM
TLM551,B738,VTPP,VTBD,2026-07-09T02:16:00Z,210,RW32,RW21R,PEBL1A,NAKO1B,R21R,PEBLI Y28 BLAFF DCT NAKON
CPA017,B744,VHHH,VOMM,2026-07-09T02:16:35Z,340,,,,,,BUTRA A1 UBL Y20 BKK L301 TANEK
BKP115,AT76,VTBS,VTSM,2026-07-09T02:17:00Z,170,RW20L,RW17,KASN1E,,R17,KASNI M757 MABKO W33 SMU
TVJ321,B38M,VTSS,VTBS,2026-07-09T02:17:00Z,340,RW26,RW19,DAND1C,LEBI1C,R19,DANDO M769 LEBIM
TLM671,B738,VTUW,VTBD,2026-07-09T02:17:00Z,320,RW15,RW21R,OMNI,ENDU1B,R21R,Y22/Y23 KKN Y23 KRT Y20 UBLOD DCT ENDUU
CPA771,A333,VHHH,VTSP,2026-07-09T02:21:40Z,340,,RW27,,SAVS1C,,BUTRA A1 UBL W1 RAMEI W42 MENEX Y8 SAVSA
ETD403,A35K,VTBS,OMAA,2026-07-09T02:22:00Z,300,RW20L,,PAST1E,,,PASTO L301 TANEK
NOK502,B738,VTBD,VTSS,2026-07-09T02:22:00Z,370,RW21L,RW26,KASN1B,OBLE1B,R26,KASNI M757 OBLEX
SIA725,B38M,VTSP,WSSS,2026-07-09T02:24:00Z,370,RW27,,EPGO1B,,,EPGOT W14 HTY A334 PASVA
QTR831,B77W,VTBS,OTHH,2026-07-09T02:24:00Z,320,RW20L,,PAST1E,,,PASTO L301 TANEK
AIQ252,A320,VYYY,VTBD,2026-07-09T02:24:05Z,350,,RW21R,,WEHA1B,R21R,BETNO P646 TARED
THA260,A320,VTSS,VTBS,2026-07-09T02:25:00Z,300,RW26,RW19,DAND1C,LEBI1C,R19,DANDO M769 LEBIM
REU888,B77W,VTBS,FMEE,2026-07-09T02:26:00Z,340,RW20L,,VANK1E,,,VANKO Y8 PUT P627 RUSET
