callsign,actype,adep,ades,eobt,rfl,gs,dep_rwy,arr_rwy,sid,star,approach,route
AFL626,A333,USSS,VTSP,2025-12-22 20:00,370,485,,RW09,,SATV1C,,TAVUN L759 SATVA
CPA610,A333,VCBI,VHHH,2025-12-22 20:05,410,485,,,,,,AKATO M502 BKK A1 SANOT Y15 GUROK A202 SAV
QFA2,A388,EGLL,WSSS,2025-12-22 20:10,410,450,,,,,,EKAVO M626 IKOGA Y24 PASVA
MFX525,A21N,UZTT,VTBS,2025-12-22 20:24,350,445,,RW01,,WILA1D,R01,LUDVI L507 IGONI
AIC2336,A20N,VIDP,VTBS,2025-12-22 20:30,170,360,,RW01,,WILA1D,R01,BETNO P646 TARED
ELY081,B772,LLBG,VTBS,2025-12-22 20:30,390,485,,RW01,,WILA1D,R01,PUMOR L877 MIGAR L524 IBETO
SVA862,B77W,OERK,RPLL,2025-12-22 20:30,350,490,,,,,,TANEK L301 BKK N506 GOMES B204 AGEDO
AFL276,A333,UUEE,VTSP,2025-12-22 20:35,370,490,,RW09,,SATV1C,,TAVUN L759 SATVA
BOX620,B77L,EDDF,VVTS,2025-12-22 20:35,370,490,,,,,,LUDVI L507 BKK N506 BOKAK
SIA319,A388,EGLL,WSSS,2025-12-22 20:35,390,490,,,,,,EKAVO M626 IKOGA Y24 PASVA
DLH780,B744,EDDF,WSSS,2025-12-22 20:40,370,480,,,,,,TAVUN L759 PUT W14 HTY A334 PASVA
SIA325,B38M,EDDF,WSSS,2025-12-22 20:40,390,475,,,,,,TAVUN L759 PUT W14 HTY A334 PASVA
FDX6179,B763,ZGGG,WMKP,2025-12-22 20:45,320,495,,,,,,SAV B460 ROT W38 RAMEI Y20 BKK M757 KARMI
ETH628,B77L,HAAB,VTBS,2025-12-22 20:55,410,490,,RW01,,WILA1D,R01,PUMOR L877 MIGAR L524 IBETO
SBI6307,B738,UIII,VTBS,2025-12-22 21:05,380,455,,RW01,,NORT1D,R01,YAKUA B346 NOBER
ABY699,A21N,OMSJ,VTSP,2025-12-22 21:10,370,455,,RW09,,UBNE1C,,SAPAM L645 UBNEN
THA352,A320,VABB,VTBS,2025-12-22 21:10,370,460,,RW01,,WILA1D,R01,BETNO P646 TARED
ABY823,A21N,OMSJ,VTBS,2025-12-22 21:15,370,460,,RW01,,WILA1D,R01,BETNO G463 TARED
DLH768,A359,EDDM,WSSS,2025-12-22 21:20,410,465,,,,,,EKAVO M626 IKOGA Y24 PASVA
DLH772,A359,EDDM,VTBS,2025-12-22 21:20,410,495,,RW01,,WILA1D,R01,BETNO P646 TARED
EVA068,B77W,EGLL,VTBS,2025-12-22 21:20,370,490,,RW01,,WILA1D,R01,BETNO P646 TARED
KAR3519,B772,UNKL,VTSP,2025-12-22 21:25,380,485,,RW09,,EMRI1C,,PONUK A581 CTR W22 IKISU Y27 BKK Y99 EMRIT
UBG308,A333,WSSS,VGHS,2025-12-22 21:30,360,455,,,,,,KADAX M626 EKAVO
THA917,B77W,EGLL,VTBS,2025-12-22 21:35,390,500,,RW01,,WILA1D,R01,BETNO P646 TARED
FDB1463,B38M,OMDB,VTSG,2025-12-22 21:40,370,455,,RW32,,EMRI1E,R32,IKULA R325 PUT Y99 EMRIT
ETD447,B77W,RPLL,OMAA,2025-12-22 21:45,360,475,,,,,,TUPGO M633 TANEK
SIA321,B77W,EGLL,WSSS,2025-12-22 21:45,350,485,,,,,,EKAVO M626 IKOGA Y24 PASVA
BAW15,B789,EGLL,WSSS,2025-12-22 21:55,370,485,,,,,,EKAVO M626 IKOGA Y24 PASVA
CQH8771,A20N,ZGGG,VTSP,2025-12-22 21:55,340,460,,RW09,,SAVS1C,,SAV A202 RAMEI W42 MENEX Y8 SAVSA
THA332,A320,VIDP,VTBS,2025-12-22 22:00,410,495,,RW01,,WILA1D,R01,BETNO P646 TARED
AFL658,A333,UIII,VTBS,2025-12-22 22:10,360,465,,RW01,,NORT1D,R01,YAKUA B346 NOBER
GFA154,B789,OBBI,RPLL,2025-12-22 22:10,390,495,,,,,,BETNO P646 BKK N506 GOMES B204 AGEDO
IGO1055,A21N,VOBL,VTBS,2025-12-22 22:15,330,460,,RW01,,WILA1D,R01,PUMOR L877 MIGAR L524 IBETO
UAE9821,B77W,VHHH,OMDW,2025-12-22 22:15,320,480,,,,,,SAV A202 OKENA W43 CMP G473 MAKAS
VSV5235,B38M,UAAA,VTSP,2025-12-22 22:15,330,470,,RW09,,SATV1C,,TAVUN L759 SATVA
ETD404,B77W,OMAA,VTBS,2025-12-22 22:20,350,455,,RW01,,WILA1D,R01,NURDA L524 IBETO
ETD416,A21N,OMAA,VTSP,2025-12-22 22:20,310,450,,RW09,,UBNE1C,,SAPAM L645 UBNEN
KQA886,B788,HKJK,VTBS,2025-12-22 22:20,410,495,,RW01,,WILA1D,R01,TANEK L301 PASTO
NBT091,A320,ENGM,VTBS,2025-12-22 22:20,370,490,,RW01,,WILA1D,R01,BETNO P646 TARED
AUA7,B772,LOWW,VTBS,2025-12-22 22:25,390,495,,RW01,,WILA1D,R01,BETNO G463 TARED
IGO1051,A21N,VABB,VTBS,2025-12-22 22:25,350,460,,RW01,,WILA1D,R01,BETNO P646 TARED
CQH8933,A20N,ZGGG,VTCC,2025-12-22 22:30,340,440,,RW36,,MONL2A,R36,TOMIP R215 NAN R207 MONLO
AXM890,A320,WMKK,VTBD,2025-12-22 22:35,360,465,,RW21R,,SABA3A,R21R,RIGTO M769 GOKEX Y96 EMTIX Y99 HOTEL
LOL500,A320,OBBI,VTBS,2025-12-22 22:35,350,455,,RW01,,WILA1D,R01,BETNO P646 TARED
IGO1071,A21N,VABB,VTSP,2025-12-22 22:40,310,465,,RW09,,UPSA1C,,IKULA L515 UPSAB
MAS797,B738,VTBS,WMKK,2025-12-22 22:40,390,435,RW02R,,KASN1H,,,KASNI M757 KARMI
QTR834,A388,OTHH,VTBS,2025-12-22 22:40,410,485,,RW01,,WILA1D,R01,NURDA L524 IBETO
TGW608,A320,WSSS,VTBS,2025-12-22 22:40,340,460,,RW01,,TUMG1D,R01,ABTOK M644 ALUMO Y12 ALEMI
THY68,B789,LTFM,VTBS,2025-12-22 22:40,390,480,,RW01,,WILA1D,R01,LUDVI L507 IGONI
BKP1111,A319,VTBS,VTSM,2025-12-22 22:45,150,255,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
QTR970,B789,OTHH,VVTS,2025-12-22 22:50,350,490,,,,,,NURDA L524 BKK N506 BOKAK
CQH8891,A320,ZSPD,VTBS,2025-12-22 22:55,340,445,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
SIA724,B38M,WSSS,VTSP,2025-12-22 22:55,360,465,,RW09,,URGA1C,,DUBAX R325 URGAD
THY066,A359,LTFM,WADD,2025-12-22 22:55,410,475,,,,,,LUDVI L507 BKK R201 BUT Y11 PIDEL M904 TIDAR
AIQ396,A320,VTBD,WADD,2025-12-22 23:00,330,465,RW21L,,KIGO3C,,,KIGOB Y11 BUT M904 TIDAR
AXM854,A320,WMKK,VTCC,2025-12-22 23:00,340,460,,RW36,,MARN2A,R36,RIGTO M769 BKK Y26 MARNI
CAL833,A333,RCTP,VTBS,2025-12-22 23:00,380,450,,RW01,,EAST1D,R01,BUTRA A1 UBL Y20 GRASO Y13 RUKSA
SIA706,B38M,WSSS,VTBS,2025-12-22 23:00,400,495,,RW01,,TUMG1D,R01,ABTOK M644 ALUMO Y12 ALEMI
TGW640,E290,WSSS,VTSM,2025-12-22 23:00,380,460,,RW17,,,R17,KADAX M626 IKOGA Y95 RUMVA
THA476,A359,YSSY,VTBS,2025-12-22 23:00,380,525,,RW01,,TUMG1D,R01,TIDAR M904 TONIK M644 ALUMO Y12 ALEMI
UAE378,B77W,OMDB,VTSP,2025-12-22 23:00,370,475,,RW09,,UBNE1C,,SAPAM L645 UBNEN
THY59,A333,VTBS,LTFM,2025-12-22 23:01,320,490,RW02R,,TARE1H,,,TARED P646 BETNO
UAE384,A388,OMDB,VTBS,2025-12-22 23:05,390,500,,RW01,,WILA1D,R01,NURDA L524 IBETO
AXM552,A320,WMKK,VLVT,2025-12-22 23:10,370,455,,,,,,PASVA Y11 PIDEL M904 BKK W21 UDN R470 ELNET VTN
AXM818,A320,WMKK,VTSP,2025-12-22 23:10,360,470,,RW09,,URGA1C,,DUBAX R325 URGAD
BKP109,AT76,VTBS,VTSM,2025-12-22 23:10,150,260,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
CQH6299,A320,ZLXY,VTBS,2025-12-22 23:10,320,465,,RW01,,NORT1D,R01,YAKUA B346 NOBER
NWS3481,A320,UUEE,VTSP,2025-12-22 23:10,370,470,,RW09,,SATV1C,,TAVUN L759 SATVA
THY172,A333,LTFM,VTSP,2025-12-22 23:10,390,460,,RW09,,SATV1C,,TAVUN L759 SATVA
TVJ330,B38M,VTBS,VTSF,2025-12-22 23:10,330,485,RW02R,RW19,KASN1H,,R19,KASNI M757 LOSDA Y94 NKS
AIQ556,A320,VTBD,ZUCK,2025-12-22 23:15,330,440,RW21L,,NOBE4C,,,NOBER B346 YAKUA
OMA844,B789,RPLL,OOMS,2025-12-22 23:15,360,490,,,,,,TUPGO M633 TANEK
TLM394,B739,VTBD,RCTP,2025-12-22 23:15,330,470,RW21L,,UPKU3C,,,UPKUP Y16 BUTRA
TLM702,B738,VTBD,VTSS,2025-12-22 23:15,350,465,RW21L,RW26,KASN3C,OBLE1A,R26,KASNI M757 OBLEX
BKP105,A319,VTBS,VTSM,2025-12-22 23:20,330,435,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
CAL851,A21N,RCTP,VTCC,2025-12-22 23:20,300,440,,RW36,,MONL2A,R36,VTN R207 MONLO
EVA257,A321,RCTP,VTCC,2025-12-22 23:20,340,430,,RW36,,MONL2A,R36,VTN R207 MONLO
NOK124,B738,VTBD,VTCC,2025-12-22 23:20,70,255,RW21L,RW36,OLVU3C,MARN2A,R36,OLVUK Y26 MARNI
QFA295,A333,YSSY,VTBS,2025-12-22 23:20,400,475,,RW01,,TUMG1D,R01,TIDAR M904 TONIK M644 ALUMO Y12 ALEMI
AIQ1042,A320,VTBD,VLVT,2025-12-22 23:25,310,445,RW21L,,NOBE4C,,,NOBER W21 UDN R470 VTN
AIQ3160,A320,VTCC,VTSP,2025-12-22 23:25,380,450,RW36,RW09,PANT2C,SAVS1C,,PANTA Y7 BKK Y8 SAVSA
CCA449,B38M,ZUCK,WSSS,2025-12-22 23:25,360,455,,,,,,YAKUA B346 BKK M904 BUT Y11 PASVA
CES5081,B738,ZPPP,WSSS,2025-12-22 23:25,360,455,,,,,,YAKUA B346 BKK M904 BUT Y11 PASVA
HKE724,A21N,VHHH,VTSP,2025-12-22 23:25,340,460,,RW09,,SAVS1C,,BUTRA A1 UBL W1 RAMEI W42 MENEX Y8 SAVSA
KMI525,B738,VTBS,VVNB,2025-12-22 23:25,370,465,RW02R,,UGUV1H,,,UGUVO Y27 PIBAN Y29 PSL W26 CMP R474 VTN
MMA376,A319,VYYY,VTCC,2025-12-22 23:25,170,250,,RW36,,PUMA2A,R36,BOMAS A581 PUMAM
QTR840,B77W,OTHH,VTSP,2025-12-22 23:25,350,480,,RW09,,UBNE1C,,SAPAM L645 UBNEN
THY310,A333,LTFM,WADD,2025-12-22 23:25,390,480,,,,,,LUDVI L507 BKK R201 BUT Y11 PIDEL M904 TIDAR
TLM800,B738,VTBD,VTSG,2025-12-22 23:25,340,465,RW21L,RW32,SABI3C,NULM1E,R32,SABIS Y8 SAPUD W32 NULMA
AIQ3036,A320,VTSP,VTBD,2025-12-22 23:30,370,465,RW09,RW21R,IGEV1A,SABA3A,R21R,IGEVI Y5 EGUBO Y99 HOTEL DCT SABAI
AIQ3417,A320,VTCC,VTBD,2025-12-22 23:30,350,450,RW36,RW21R,PANT2C,NAKO3A,R21R,PANTA Y7 BLAFF DCT NAKON
BKP107,A319,VTBS,VTSM,2025-12-22 23:30,150,265,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
MMA364,A319,VYYY,VTBD,2025-12-22 23:30,310,475,,RW21R,,WEHA3A,R21R,BETNO P646 TARED
NOK520,B738,VTBD,VTSP,2025-12-22 23:30,340,460,RW21L,RW09,SABI3C,SAVS1C,,SABIS Y8 SAVSA
QTR836,A388,OTHH,VTBS,2025-12-22 23:30,390,495,,RW01,,WILA1D,R01,NURDA L524 IBETO
SNY22,A320,VTBD,VTUL,2025-12-22 23:30,80,160,RW21L,RW19,NOBE4C,,R19,NOBER W21 CMP B218 BOVGO
SNY25,A320,VTBD,VTSE,2025-12-22 23:30,90,150,RW21L,RW24,SABI3C,,R24,SABIS Y8 MENEX W34 CPN
TLM117,B738,WIII,VTBD,2025-12-22 23:30,360,470,,RW21R,,SEHN3A,R21R,ABTOK M644 RYN
TVJ130,B38M,VTBS,VTCT,2025-12-22 23:30,300,460,RW02R,RW03,UGUV1H,,R03,UGUVO Y27 IKISU W22 BENVI
AIQ3102,A20N,VTBD,VTSS,2025-12-22 23:35,370,445,RW21L,RW26,KASN3C,OBLE1A,R26,KASNI M757 OBLEX
AIQ4402,A320,VTBS,VTSG,2025-12-22 23:35,380,450,RW02R,RW32,VANK1H,NULM1E,R32,VANKO Y8 SAPUD W32 NULMA
CEB5959,A21N,VTBD,RPVM,2025-12-22 23:35,330,465,RW21L,,GORS3C,,,GORSI N506 GOMES B204 AGEDO
FDX6001,B763,VVNB,VTBS,2025-12-22 23:35,320,480,,RW01,,NORT1D,R01,VTN R470 UDN W21 NOBER
THA259,A320,VTBS,VTSS,2025-12-22 23:35,350,460,RW02R,RW26,KASN1H,OBLE1A,R26,KASNI M757 OBLEX
THY162,A359,LTFM,VVTS,2025-12-22 23:35,370,495,,,,,,LUDVI L507 BKK R468 BOKAK
THY251,A333,VVTS,LTFM,2025-12-22 23:35,340,505,,,,,,VAPVU P629 BKK L507 LUDVI
TVJ100,B38M,VTBS,VTCC,2025-12-22 23:35,340,445,RW02R,RW36,OLVU1H,MARN2A,R36,OLVUK Y26 MARNI
AIQ311,A320,VTBD,WMKK,2025-12-22 23:40,370,445,RW21L,,KIGO3C,,,KIGOB Y11 PASVA
AIQ3510,A320,VTBD,VTUI,2025-12-22 23:40,350,450,RW21L,RW05,ROBK3C,,R05,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
AMU996,A321,VMMC,VTBS,2025-12-22 23:40,340,450,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
BKP1103,A319,VTBS,VTSM,2025-12-22 23:40,330,465,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
EVA075,B77W,RCTP,VTBS,2025-12-22 23:40,340,490,,RW01,,EAST1D,R01,BUTRA A1 UBL Y20 GRASO Y13 RUKSA
HKE756,A21N,VHHH,VTCC,2025-12-22 23:40,300,440,,RW36,,MONL2A,R36,TOMIP R215 NAN W12 MONLO
KMI802,B734,VTBS,VDTI,2025-12-22 23:40,330,435,RW02R,,GOME1S,,,GOMES N506 BOKAK
SVA846,B78X,OERK,VTBS,2025-12-22 23:40,390,500,,RW01,,WILA1D,R01,TANEK L301 PASTO
AIQ3437,A21N,VTBD,VTCC,2025-12-22 23:45,340,445,RW21L,RW36,OLVU3C,MARN2A,R36,OLVUK Y26 MARNI
AIQ3566,A320,VTBD,VTUV,2025-12-22 23:45,310,430,RW21L,RW36,ROBK3C,,R36,ROBKA A1 TOPER W42 RAMEI W38
AIQ775,A320,VTBD,VMMC,2025-12-22 23:45,370,470,RW21L,,ROBK3C,,,ROBKA A1 SANOT Y15 GUROK A202 SAV
BKP450,AT76,VTSM,VTBD,2025-12-22 23:45,160,260,RW35,RW21R,OLBA1B,SABA3A,R21R,OLBAG Y17 DONSI M769 GOKEX Y96 EMTIX Y99 HOTEL DCT SABAI
NOK539,B738,VTSP,VTBD,2025-12-22 23:45,390,445,RW09,RW21R,IGEV1A,SABA3A,R21R,IGEVI Y5 EGUBO Y99 HOTEL DCT SABAI
TLM750,B738,VTBD,VTSP,2025-12-22 23:45,340,465,RW21L,RW09,SABI3C,SAVS1C,,SABIS Y8 SAVSA
UPS147,B763,VTBS,WMKP,2025-12-22 23:45,310,460,RW02R,,KASN1H,,,KASNI M757 OBLEX Y10 HTY A457 TAMOS
AIQ3235,A21N,VTBD,VTSB,2025-12-22 23:50,320,460,RW21L,RW22,SABI3C,IKER1A,R22,SABIS Y8 IKERA
AIQ4150,A320,VTBS,VTCT,2025-12-22 23:50,360,450,RW02R,RW03,UGUV1H,,R03,UGUVO Y27 IKISU W22 BENVI
HKE704,A21N,VHHH,VTBS,2025-12-22 23:50,340,450,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
NOK123,B738,VTCC,VTBD,2025-12-22 23:50,350,470,RW36,RW21R,PANT2C,NAKO3A,R21R,PANTA Y7 BLAFF DCT NAKON
TVJ314,A321,VTBS,VTSP,2025-12-22 23:50,340,465,RW02R,RW09,VANK1H,SAVS1C,,VANKO Y8 SAVSA
AIQ3199,A320,VTBD,VTCT,2025-12-22 23:55,360,450,RW21L,RW03,UGUV3C,,R03,UGUVO Y27 IKISU W22 BENVI
AIQ3522,A320,VTBD,VTUO,2025-12-22 23:55,250,420,RW21L,RW04,ROBK3C,,R04,ROBKA A1 TOPER W42 RAMEI W38
AIQ642,A320,VTBD,VVNB,2025-12-22 23:55,350,460,RW21L,,UGUV3C,,,UGUVO Y27 PIBAN Y29 PSL W26 CMP R474 VTN
IGO1073,A21N,VIDP,VTSP,2025-12-22 23:55,350,465,,RW09,,SATV1C,,TAVUN L759 SATVA
SIA762,B38M,WSSS,VYYY,2025-12-22 23:55,360,470,,,,,,KADAX M626 EKAVO
THA002,A21N,VTBS,VTUD,2025-12-22 23:55,270,415,RW02R,RW30,SELK1H,ANPU1C,R30,SELKA Y14 KRT Y23 KKN Y23/Y22
THA040,A320,VTBS,VTUK,2025-12-22 23:55,230,395,RW02R,RW03,SELK1H,,R03,SELKA Y14 KRT Y23 KKN Y23/Y22
TVJ811,B38M,RJFF,VTBS,2025-12-22 23:55,360,450,,RW01,,EAST1D,R01,BUTRA A1 UBL Y20 GRASO Y13 RUKSA
UAE337,B77W,RPLL,OMDB,2025-12-22 23:55,360,485,,,,,,TUPGO M633 MUBUS P629 BKK L301 TANEK
MSR5111,A320,VTBS,OJAI,2025-12-22 23:59,320,495,RW02R,,PAST1H,,,PASTO L301 TANEK
UAE376,A388,OMDB,VTBS,2025-12-22 23:59,410,505,,RW01,,WILA1D,R01,NURDA L524 IBETO
AIQ3221,A320,VTBD,VTSG,2025-12-23 00:00,340,435,RW21L,RW32,SABI3C,NULM1E,R32,SABIS Y8 SAPUD W32 NULMA
AIQ3308,A320,VTBD,VTPP,2025-12-23 00:00,220,390,RW21L,RW32,UGUV3C,,R32,UGUVO Y27 PIBAN
AIQ359,A320,VTBD,WSSS,2025-12-23 00:00,350,455,RW21L,,KIGO3C,,,KIGOB Y11 PASVA
BKP102,A319,VTSM,VTBS,2025-12-23 00:00,340,440,RW35,RW01,OLBA1B,LEBI1D,R01,OLBAG Y17 DONSI M769 LEBIM
BKP125,A319,VTBS,VTSM,2025-12-23 00:00,310,440,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
BKP211,AT76,VTBS,VTPO,2025-12-23 00:00,160,255,RW02R,RW36,OLVU1H,,R36,OLVUK Y26 ELDAL Y32 KIMET
CBY101,AT75,VTBD,VTSS,2025-12-23 00:00,170,255,RW21L,RW26,KASN3C,OBLE1A,R26,KASNI M757 OBLEX
THA020,A320,VTBS,VTUU,2025-12-23 00:00,270,440,RW02R,RW05,SELK1H,VENP1C,R05,SELKA A1
TLM782,B738,VTBD,VTSF,2025-12-23 00:00,310,460,RW21L,RW19,KASN3C,,R19,KASNI M757 LOSDA Y94 NKS
UAE364,B77W,OMDB,VVTS,2025-12-23 00:00,410,490,,,,,,NURDA L524 BKK N506 BOKAK
WHK03,A320,VTBD,VTCC,2025-12-23 00:00,340,455,RW21L,RW36,OLVU3C,MARN2A,R36,OLVUK Y26 MARNI
AIC2385,A20N,WMKK,VIDP,2025-12-23 00:05,340,470,,,,,,DUBAX R325 PUT L759 TAVUN
AIQ4101,A320,VTCC,VTBS,2025-12-23 00:05,350,455,RW36,RW01,PANT2C,NORT1D,R01,PANTA Y7 BLAFF DCT NORTA
AIQ4350,A320,VTBS,VTUD,2025-12-23 00:05,290,415,RW02R,RW30,SELK1H,ANPU1C,R30,SELKA Y14 KRT Y23 KKN Y23/Y22
BKP261,A319,VTBS,VTSG,2025-12-23 00:05,360,450,RW02R,RW32,VANK1H,NULM1E,R32,VANKO Y8 SAPUD W32 NULMA
CSN3055,B38M,ZGGG,VYYY,2025-12-23 00:05,340,450,,,,,,TOMIP R215 NAN R202 BIGVO A581 BOMAS
CSN357,A21N,ZGGG,VTBS,2025-12-23 00:05,300,455,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
CXA8687,B738,ZUCK,WMKK,2025-12-23 00:05,360,450,,,,,,YAKUA B346 BKK M757 KARMI
EVA067,B77W,RCTP,VTBS,2025-12-23 00:05,340,490,,RW01,,EAST1D,R01,BUTRA A1 UBL Y20 GRASO Y13 RUKSA
THA637,A320,RCTP,VTBS,2025-12-23 00:05,340,450,,RW01,,EAST1D,R01,BUTRA A1 UBL Y20 GRASO Y13 RUKSA
TVJ210,B38M,VTBS,VTUK,2025-12-23 00:05,250,445,RW02R,RW03,SELK1H,,R03,SELKA Y14 KRT Y23 KKN Y23/Y22
TVJ340,A321,VTBS,VTSG,2025-12-23 00:05,360,410,RW02R,RW32,VANK1H,NULM1E,R32,VANKO Y8 SAPUD W32 NULMA
AIQ3116,A320,VTBD,VTSS,2025-12-23 00:10,370,445,RW21L,RW26,KASN3C,OBLE1A,R26,KASNI M757 OBLEX
AIQ3188,A320,VTBD,VTSF,2025-12-23 00:10,350,450,RW21L,RW19,KASN3C,,R19,KASNI M757 LOSDA Y94 NKS
AIQ608,A320,VTBD,VDTI,2025-12-23 00:10,390,450,RW21L,,GORS3C,,,GORSI N506 BOKAK
ANA806,B789,VTBS,RJAA,2025-12-23 00:10,370,510,RW02R,,LIPL1S,,,LIPLI Y16 BUTRA
CES9639,B738,ZPPP,VTCC,2025-12-23 00:10,340,430,,RW36,,MONL2A,R36,VTN R207 MONLO
THA426,A320,WMKP,VTBS,2025-12-23 00:10,360,465,,RW01,,LEBI1D,R01,RIGTO M769 LEBIM
UBA019,B738,VYYY,VTBS,2025-12-23 00:10,350,455,,RW01,,WILA1D,R01,BETNO G463 TARED
AIQ3034,A320,VTBD,VTSP,2025-12-23 00:15,360,450,RW21L,RW09,SABI3C,SAVS1C,,SABIS Y8 SAVSA
AIQ3362,A320,VTBD,VTUD,2025-12-23 00:15,270,410,RW21L,RW30,ROBK3C,ANPU1C,R30,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
AIQ3398,A320,VTBD,VTUW,2025-12-23 00:15,370,460,RW21L,RW15,ROBK3C,,R15,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
AWQ250,A320,WIII,VTBD,2025-12-23 00:15,360,465,,RW21R,,SEHN3A,R21R,ABTOK M644 RYN
BKP110,AT76,VTSM,VTBS,2025-12-23 00:15,160,260,RW35,RW01,OLBA1B,LEBI1D,R01,OLBAG Y17 DONSI M769 LEBIM
CHH423,B38M,ZUCK,VTBS,2025-12-23 00:15,320,480,,RW01,,NORT1D,R01,VTN R470 UDN W21 NOBER
