fid,area_code,icao_code,airport_identifier,airport_identifier_3letter,airport_name,airport_ref_latitude,airport_ref_longitude,ifr_capability,longest_runway_surface_code,elevation,transition_altitude,transition_level,speed_limit,speed_limit_altitude,iata_ata_designator,id,AP,Main
15867,PAC,VT,VTSM,,SAMUI,9.54888889,100.0625,Y,H,64,11000,13000,250,10000,USM,VTVTSM,Samui Airport,N
15868,PAC,VT,VTSN,,CHA-IAN,8.46388889,99.95833333,N,H,44,11000,13000,250,10000,,VTVTSN,Cha-Ian Airport,N
15869,PAC,VT,VTSP,,PHUKET INTL,8.1125,98.30916667,Y,H,84,11000,13000,250,10000,HKT,VTVTSP,Phuket International Airport,N
15870,PAC,VT,VTSR,,RANONG,9.77762222,98.58548333,Y,H,57,11000,13000,250,10000,UNN,VTVTSR,Ranong Airport,N
15871,PAC,VT,VTSS,,HAT YAI INTL,6.93277778,100.395,Y,H,90,11000,13000,250,10000,HDY,VTVTSS,Hat Yai International Airport,N
15872,PAC,VT,VTST,,TRANG,7.50861667,99.615775,Y,H,67,11000,13000,250,10000,TST,VTVTST,Trang Airport,N
15873,PAC,VT,VTSY,,BETONG,5.78878889,101.14715833,Y,H,738,11000,0,250,10000,,VTVTSY,Betong Airport,N
15874,PAC,VT,VTUD,,UDON THANI,17.38643611,102.78824722,Y,H,579,11000,13000,250,10000,UTH,VTVTUD,Udon Thani Airport,N
15875,PAC,VT,VTUI,,SAKON NAKHON,17.19514167,104.11862778,Y,H,529,11000,13000,250,10000,SNO,VTVTUI,Sakon Nakhon Airport,N
15876,PAC,VT,VTUJ,,SURIN,14.86927778,103.48888889,N,H,478,11000,13000,250,10000,PXR,VTVTUJ,Surin Airport,N
15877,PAC,VT,VTUK,,KHON KAEN,16.46662778,102.78368333,Y,H,681,11000,13000,250,10000,KKC,VTVTUK,Khon Kaen Airport,N
15878,PAC,VT,VTUL,,LOEI,17.43913333,101.72206389,Y,H,860,11000,13000,250,10000,LOE,VTVTUL,Loei Airport,N
15879,PAC,VT,VTUN,,KHORAT,14.93444444,102.07861111,Y,H,729,11000,13000,250,10000,,VTVTUN,Khorat Airport,N
15880,PAC,VT,VTUO,,BURI RAM,15.22675833,103.25123889,Y,H,594,11000,13000,250,10000,BFV,VTVTUO,Buri Ram Airport,N
15881,PAC,VT,VTUQ,,NAKHON RATCHASIMA,14.94949722,102.31273889,Y,H,765,11000,13000,250,10000,NAK,VTVTUQ,Nakhon Ratchasima Airport,N
15882,PAC,VT,VTUU,,UBON RATCHATHANI,15.25127222,104.87024444,Y,H,411,11000,13000,250,10000,UBP,VTVTUU,Ubon Ratchathani Airport,N
15883,PAC,VT,VTUV,,ROI ET,16.11676111,103.77379722,Y,H,451,11000,13000,250,10000,ROI,VTVTUV,Roi Et Airport,N
15884,PAC,VT,VTUW,,NAKHON PHANOM,17.38533889,104.64188889,Y,H,587,11000,13000,250,10000,KOP,VTVTUW,Nakhon Phanom Airport,N
15885,PAC,VT,VTUZ,,NAM PHONG,16.65028333,102.96310833,N,H,723,11000,13000,250,10000,,VTVTUZ,Nam Phong Airport,N
